,,,Conexiones Activas de agua potable (Conex) - 2120,,,,,,,,,,,
37,"37,004",LOS AQUIJES,667,"1,399",704,691,,,,,,,,
37,,INACTIVO (SANTIAGO),,,,,,,,,,,,
38,"38,001",SICUANI,"10,518","11,179","11,646","11,646",,,,,,,,
38,"38,002",SANTO TOMAS,"2,330","2,498","2,569","2,569",,,,,,,,
39,"39,001",TARMA,"8,427","8,647","8,715","8,796",,,,,,,,
40,"40,001",AZANGARO,"4,747","4,464","4,659","4,659",,,,,,,,
40,,LAMPA,,,,,,,,,,,,
40,,CARABAYA,,,,,,,,,,,,
40,,SANDIA,,,,,,,,,,,,
40,,PUTINA,,,,,,,,,,,,
40,"40,002",HUANCANE,"2,464","2,349","2,407","2,386",,,,,,,,
41,"41,001",JULIACA,"41,653","42,685","43,842","43,842",,,,,,,,
42,"42,001",JAUJA,"6,686","6,936","7,133","7,280",,,,,,,,
42,"42,002",CHUPACA,"4,881","5,139","5,463","5,672",,,,,,,,
42,"42,003",CONCEPCION,"3,609","3,830","4,014","4,117",,,,,,,,
43,"43,001",ABANCAY,"12,018","12,598","13,091","13,391",,,,,,,,
44,"44,001",ANDAHUAYLAS,"4,193","4,648","5,012","4,876",,,,,,,,
45,"45,001",JAEN,"12,589","13,982","14,733","15,210",,,,,,,,
45,"45,002",BELLAVISTA,"1,253","1,238","1,284","1,378",,,,,,,,
45,"45,003",SAN IGNACIO,"1,188","1,161","1,169","1,165",,,,,,,,
46,"46,001",HUANCAYO,"21,043","21,472","22,049","22,542",,,,,,,,
46,"46,002",EL TAMBO,"27,596","28,126","28,812","29,133",,,,,,,,
46,"46,003",CHILCA,"14,543","15,040","15,432","15,678",,,,,,,,
46,"46,004",HUANCÁN ,"1,851","1,903","1,906","1,862",,,,,,,,
46,"46,005",CAJAS,474,519,528,551,,,,,,,,
46,"46,006",ORCOTUNA ,777,792,795,779,,,,,,,,
46,"46,007",VIQUES,641,677,707,723,,,,,,,,
46,"46,008",HUACRAPUQUIO,408,416,413,420,,,,,,,,
47,"47,001",CALCA,"2,989",,"3,152","3,152",,,,,,,,
48,"48,001",AYAVIRI,"5,438",,"5,834","5,765",,,,,,,,
50,"50,001",LA OROYA,"2,853","2,923","2,939","2,929",,,,,,,,
51,"51,001",RIOJA,"5,260","5,047","5,349","5,349",,,,,,,,
