"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
021203,ÁNCASH,HUAYLAS,HUATA,100.0,97.0,3,23,6,9.4,71.9,18.8,10,17,5,31.3,53.1,15.6
021204,ÁNCASH,HUAYLAS,HUAYLAS,100.0,100.0,0,8,10,0.0,44.4,55.6,0,5,13,0.0,27.8,72.2
021205,ÁNCASH,HUAYLAS,MATO,100.0,96.8,6,21,3,20.0,70.0,10.0,20,8,2,66.7,26.7,6.7
021206,ÁNCASH,HUAYLAS,PAMPAROMAS,100.0,95.4,39,78,6,31.7,63.4,4.9,84,35,4,68.3,28.5,3.3
021207,ÁNCASH,HUAYLAS,PUEBLO LIBRE,100.0,97.7,35,84,7,27.8,66.7,5.6,83,30,13,65.9,23.8,10.3
021208,ÁNCASH,HUAYLAS,SANTA CRUZ,100.0,92.3,32,55,7,34.0,58.5,7.4,68,20,6,72.3,21.3,6.4
021209,ÁNCASH,HUAYLAS,SANTO TORIBIO,100.0,100.0,3,12,8,13.0,52.2,34.8,9,8,6,39.1,34.8,26.1
021210,ÁNCASH,HUAYLAS,YURACMARCA,100.0,95.7,16,43,7,24.2,65.2,10.6,54,9,3,81.8,13.6,4.5
021302,ÁNCASH,MARISCAL LUZURIAGA,CASCA,100.0,100.0,26,31,0,45.6,54.4,0.0,49,8,0,86.0,14.0,0.0
021303,ÁNCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,100.0,97.6,15,25,1,36.6,61.0,2.4,32,9,0,78.0,22.0,0.0
021304,ÁNCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,100.0,100.0,18,17,2,48.6,45.9,5.4,30,5,2,81.1,13.5,5.4
021306,ÁNCASH,MARISCAL LUZURIAGA,LLUMPA,100.0,100.0,11,58,1,15.7,82.9,1.4,50,19,1,71.4,27.1,1.4
